Animal_ID,Time_AAC_days,Animal_type,Purebreed,Blacklisted_breed,Color,Intake_date,Intake_weekday,Intake_month,Intake_time_of_day,Found_in_Austin,Intake_type,Intake_condition,Sex,Reproductive Condition,Intake_age_years,Date_birth,Outcome _type_DROP,Adopted_DROP,2_Week_Cutoff,1_Month_Cutoff,3_Month_Cutoff
A630325,89,Dog,No,No,Multi,8/20/2014,Wednesday,August,Afternoon,Yes,Stray,Normal,Female,Fixed,5.17,6/20/2009,Adoption,Yes,0,0,1
A693699,30,Dog,No,Yes,Multi,12/13/2014,Saturday,December,Morning,Yes,Stray,Normal,Male,Intact,1,12/13/2013,Transfer,No,0,1,1
A733589,4,Dog,No,No,Multi,8/24/2016,Wednesday,August,Morning,No,Stray,Normal,Female,Intact,0.1,7/17/2016,Transfer,No,1,1,1
A673556,4,Dog,No,No,Multi,2/26/2014,Wednesday,February,Afternoon,Yes,Stray,Normal,Female,Intact,0.17,12/26/2013,Adoption,Yes,1,1,1
A733311,,Dog,No,Yes,Multi,6/6/2017,Tuesday,June,Morning,Yes,Owner Surrender,Normal,Female,Fixed,1.8,8/20/2015,Adoption,Yes,1,1,1
A694644,7,Dog,No,No,Multi,1/1/2015,Thursday,January,Morning,Yes,Stray,Normal,Male,Intact,2,1/1/2013,Adoption,Yes,1,1,1
A690661,4,Dog,No,No,Multi,10/23/2014,Thursday,October,Afternoon,Yes,Stray,Sick,Male,Intact,5,10/23/2009,Transfer,No,1,1,1
A737338,9,Dog,No,No,Multi,10/26/2016,Wednesday,October,Morning,Yes,Stray,Sick,Male,Intact,1.17,8/26/2015,Adoption,Yes,1,1,1
A664519,6,Dog,No,No,Beige,10/4/2013,Friday,October,Afternoon,No,Stray,Normal,Male,Intact,6.01,10/4/2007,Euthanasia,No,1,1,1
A667358,34,Dog,No,No,Black,11/16/2013,Saturday,November,Afternoon,No,Owner Surrender,Normal,Female,Intact,1.06,10/24/2012,Adoption,Yes,0,0,1
A748617,6,Dog,No,No,Multi,5/4/2017,Thursday,May,Afternoon,Yes,Stray,Normal,Female,Intact,2,5/4/2015,Adoption,Yes,1,1,1
A684554,4,Dog,No,No,Multi,7/25/2014,Friday,July,Morning,Yes,Stray,Normal,Female,Intact,0.33,3/25/2014,Adoption,Yes,1,1,1
A711491,7,Dog,No,No,Multi,9/7/2015,Monday,September,Afternoon,No,Stray,Normal,Male,Intact,0.13,7/23/2015,Transfer,No,1,1,1
A763815,6,Dog,No,No,White,12/16/2017,Saturday,December,Morning,Yes,Stray,Normal,Male,Intact,4,12/16/2013,Adoption,Yes,1,1,1
A746448,5,Dog,No,No,Multi,4/3/2017,Monday,April,Morning,Yes,Stray,Normal,Male,Intact,1.5,10/3/2015,Adoption,Yes,1,1,1
A749169,4,Dog,No,No,Multi,5/11/2017,Thursday,May,Afternoon,No,Stray,Normal,Male,Intact,1,5/11/2016,Transfer,No,1,1,1
A753451,1,Dog,No,No,Multi,3/16/2018,Friday,March,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,1.19,1/6/2017,Adoption,Yes,1,1,1
A715704,,Dog,No,No,Multi,11/14/2017,Tuesday,November,Morning,Yes,Stray,Normal,Male,Fixed,4.02,11/8/2013,Adoption,Yes,1,1,1
A274546,3,Dog,No,No,Multi,11/13/2013,Wednesday,November,Afternoon,Yes,Stray,Normal,Female,Fixed,11.48,5/25/2002,Adoption,Yes,1,1,1
A681180,18,Dog,No,No,Multi,6/13/2014,Friday,June,Afternoon,Yes,Stray,Normal,Female,Intact,0.13,4/28/2014,Adoption,Yes,0,1,1
A667916,23,Dog,No,Yes,Multi,11/25/2013,Monday,November,Morning,Yes,Stray,Normal,Female,Intact,3,11/25/2010,Transfer,No,0,1,1
A763933,0,Dog,No,No,Multi,12/18/2017,Monday,December,Afternoon,Yes,Stray,Sick,Male,Unknown,0.12,11/4/2017,Transfer,No,1,1,1
A756000,10,Dog,No,No,Multi,8/21/2017,Monday,August,Afternoon,No,Owner Surrender,Normal,Male,Fixed,1.52,2/12/2016,Adoption,Yes,1,1,1
A730523,9,Dog,No,No,Beige,7/6/2016,Wednesday,July,Morning,No,Stray,Injured,Female,Intact,1,7/6/2015,Transfer,No,1,1,1
A672352,140,Dog,No,No,Multi,2/8/2014,Saturday,February,Afternoon,Yes,Stray,Normal,Male,Intact,2,2/8/2012,Adoption,Yes,0,0,0
A697418,13,Dog,No,Yes,Multi,2/23/2015,Monday,February,Afternoon,Yes,Stray,Normal,Female,Fixed,2,2/23/2013,Adoption,Yes,1,1,1
A748212,1,Dog,No,No,Beige,4/30/2017,Sunday,April,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,1.5,10/30/2015,Transfer,No,1,1,1
A665003,5,Dog,No,No,Multi,10/12/2013,Saturday,October,Morning,Yes,Stray,Normal,Male,Intact,1,10/12/2012,Adoption,Yes,1,1,1
A674790,5,Dog,No,No,Red,3/18/2014,Tuesday,March,Afternoon,Yes,Public Assist,Normal,Female,Intact,0.37,11/3/2013,Adoption,Yes,1,1,1
A679750,,Dog,No,No,Brown,10/8/2014,Wednesday,October,Morning,Yes,Stray,Injured,Female,Fixed,5.38,5/25/2009,Adoption,Yes,1,1,1
A682572,31,Dog,No,No,Multi,6/29/2014,Sunday,June,Afternoon,No,Stray,Normal,Male,Intact,1,6/29/2013,Adoption,Yes,0,0,1
A737615,6,Dog,No,No,Multi,11/1/2016,Tuesday,November,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,7.01,11/1/2009,Transfer,No,1,1,1
A689061,4,Dog,No,No,Beige,9/28/2014,Sunday,September,Afternoon,Yes,Stray,Normal,Male,Intact,0.42,4/28/2014,Transfer,No,1,1,1
A737050,3,Dog,No,Yes,Multi,10/21/2016,Friday,October,Afternoon,No,Owner Surrender,Normal,Male,Intact,0.12,9/6/2016,Transfer,No,1,1,1
A730313,4,Dog,No,No,Beige,7/1/2016,Friday,July,Afternoon,Yes,Stray,Normal,Male,Intact,1,7/1/2015,Transfer,No,1,1,1
A671854,11,Dog,No,No,Multi,1/31/2014,Friday,January,Morning,Yes,Owner Surrender,Normal,Male,Fixed,6.01,1/31/2008,Adoption,Yes,1,1,1
A761107,,Dog,No,Yes,Beige,12/18/2017,Monday,December,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,2.14,10/29/2015,Adoption,Yes,1,1,1
A763109,40,Dog,No,No,Black,12/3/2017,Sunday,December,Morning,Yes,Stray,Normal,Male,Intact,0.08,11/3/2017,Adoption,Yes,0,0,1
A763324,14,Dog,No,No,Multi,12/7/2017,Thursday,December,Afternoon,No,Stray,Normal,Male,Intact,0.59,5/7/2017,Transfer,No,1,1,1
A713447,4,Dog,No,No,Multi,10/7/2015,Wednesday,October,Morning,No,Stray,Normal,Male,Fixed,14.98,10/18/2000,Adoption,Yes,1,1,1
A706994,10,Dog,No,No,Brown,7/6/2015,Monday,July,Afternoon,Yes,Stray,Normal,Male,Intact,1,7/6/2014,Transfer,No,1,1,1
A732176,4,Dog,No,Yes,Beige,8/3/2016,Wednesday,August,Afternoon,Yes,Stray,Normal,Female,Intact,0.17,6/3/2016,Adoption,Yes,1,1,1
A693407,10,Dog,No,No,Beige,12/7/2014,Sunday,December,Morning,No,Stray,Normal,Male,Intact,2,12/7/2012,Adoption,Yes,1,1,1
A765235,2,Dog,No,No,Multi,1/15/2018,Monday,January,Afternoon,Yes,Owner Surrender,Normal,Male,Intact,0.59,6/15/2017,Transfer,No,1,1,1
A736839,67,Dog,Yes,No,Multi,10/18/2016,Tuesday,October,Morning,Yes,Owner Surrender,Normal,Female,Fixed,6.01,10/18/2010,Adoption,Yes,0,0,1
A684423,62,Dog,No,No,Multi,7/23/2014,Wednesday,July,Afternoon,No,Stray,Injured,Female,Intact,3,7/23/2011,Adoption,Yes,0,0,1
A735361,25,Dog,Yes,No,Multi,9/23/2016,Friday,September,Afternoon,Yes,Stray,Normal,Female,Fixed,2,9/23/2014,Transfer,No,0,1,1
A735930,15,Dog,No,No,Multi,10/1/2016,Saturday,October,Afternoon,Yes,Stray,Normal,Female,Intact,0.21,7/17/2016,Adoption,Yes,0,1,1
A739323,26,Dog,No,No,Multi,12/1/2016,Thursday,December,Morning,Yes,Stray,Normal,Female,Intact,2,12/1/2014,Adoption,Yes,0,1,1
A631277,55,Dog,No,Yes,Beige,11/4/2015,Wednesday,November,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,3.44,5/26/2012,Adoption,Yes,0,0,1
A758543,10,Dog,No,No,Beige,9/18/2017,Monday,September,Afternoon,Yes,Stray,Normal,Male,Intact,2,9/18/2015,Adoption,Yes,1,1,1
A662319,9,Dog,No,Yes,Multi,11/1/2013,Friday,November,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,2.17,9/2/2011,Adoption,Yes,1,1,1
A750900,22,Dog,No,Yes,Multi,6/1/2017,Thursday,June,Afternoon,No,Stray,Injured,Male,Intact,2,6/1/2015,Transfer,No,0,1,1
A758894,170,Dog,No,No,Brown,9/23/2017,Saturday,September,Afternoon,No,Stray,Normal,Female,Intact,0.17,7/23/2017,Adoption,Yes,0,0,0
A761879,0,Dog,No,No,Multi,11/11/2017,Saturday,November,Morning,Yes,Stray,Nursing,Male,Intact,0.08,10/11/2017,Transfer,No,1,1,1
A672007,1,Dog,No,Yes,White,2/2/2014,Sunday,February,Afternoon,Yes,Owner Surrender,Sick,Female,Intact,0.17,12/2/2013,Euthanasia,No,1,1,1
A664824,,Dog,No,Yes,Black,7/17/2014,Thursday,July,Morning,Yes,Stray,Normal,Female,Fixed,5.77,10/9/2008,Adoption,Yes,1,1,1
A734996,4,Dog,No,No,Multi,9/16/2016,Friday,September,Afternoon,Yes,Stray,Normal,Female,Intact,1,9/16/2015,Transfer,No,1,1,1
A728842,30,Dog,No,Yes,Multi,6/9/2016,Thursday,June,Morning,Yes,Stray,Normal,Male,Intact,2,6/9/2014,Adoption,Yes,0,1,1
A705901,4,Dog,No,No,Multi,6/22/2015,Monday,June,Afternoon,Yes,Stray,Normal,Male,Fixed,3,6/22/2012,Transfer,No,1,1,1
A760292,4,Dog,No,No,Multi,10/15/2017,Sunday,October,Afternoon,Yes,Stray,Normal,Female,Intact,0.33,6/15/2017,Adoption,Yes,1,1,1
A680462,,Dog,No,No,Multi,6/30/2014,Monday,June,Morning,Yes,Owner Surrender,Normal,Female,Fixed,2.07,6/3/2012,Adoption,Yes,1,1,1
A687563,13,Dog,No,No,Red,9/6/2014,Saturday,September,Afternoon,Yes,Stray,Normal,Male,Intact,4,9/6/2010,Transfer,No,1,1,1
A645645,1,Dog,No,No,Multi,12/6/2014,Saturday,December,Morning,Yes,Owner Surrender,Normal,Female,Fixed,2.16,10/9/2012,Adoption,Yes,1,1,1
A689401,62,Dog,No,Yes,Multi,10/3/2014,Friday,October,Afternoon,Yes,Stray,Normal,Male,Intact,1,10/3/2013,Transfer,No,0,0,1
A677577,5,Dog,No,No,Multi,4/26/2014,Saturday,April,Afternoon,Yes,Owner Surrender,Normal,Female,Intact,0.83,6/26/2013,Adoption,Yes,1,1,1
A673084,45,Dog,No,No,Multi,2/19/2014,Wednesday,February,Afternoon,No,Public Assist,Normal,Female,Fixed,5,2/19/2009,Adoption,Yes,0,0,1
A597150,304,Dog,No,Yes,Brown,4/13/2017,Thursday,April,Morning,Yes,Owner Surrender,Normal,Female,Fixed,8.01,4/12/2009,Adoption,Yes,0,0,0
A755296,5,Dog,No,No,Multi,8/1/2017,Tuesday,August,Morning,Yes,Stray,Normal,Female,Intact,1,8/1/2016,Adoption,Yes,1,1,1
A745181,5,Dog,No,No,Brown,5/26/2017,Friday,May,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,1.2,3/14/2016,Adoption,Yes,1,1,1
A742359,69,Dog,No,No,Multi,1/20/2017,Friday,January,Afternoon,Yes,Owner Surrender,Injured,Female,Intact,0.33,9/20/2016,Adoption,Yes,0,0,1
A761121,10,Dog,No,Yes,Black,10/29/2017,Sunday,October,Afternoon,Yes,Stray,Normal,Female,Intact,2,10/29/2015,Transfer,No,1,1,1
A666401,3,Dog,No,No,Multi,1/14/2015,Wednesday,January,Morning,Yes,Owner Surrender,Normal,Male,Fixed,9.21,10/31/2005,Adoption,Yes,1,1,1
A722235,34,Dog,No,Yes,Beige,3/13/2016,Sunday,March,Morning,Yes,Stray,Normal,Male,Intact,4,3/13/2012,Adoption,Yes,0,0,1
A742069,0,Dog,No,No,Multi,1/14/2017,Saturday,January,Morning,Yes,Stray,Normal,Male,Intact,0.04,12/30/2016,Transfer,No,1,1,1
A692911,9,Dog,No,No,Brown,11/28/2014,Friday,November,Morning,Yes,Stray,Normal,Male,Intact,1,11/28/2013,Adoption,Yes,1,1,1
A701451,5,Dog,No,No,Multi,1/11/2016,Monday,January,Morning,Yes,Stray,Normal,Male,Fixed,0.87,3/1/2015,Transfer,No,1,1,1
A739153,20,Dog,No,No,Black,11/28/2016,Monday,November,Afternoon,Yes,Stray,Normal,Female,Fixed,1,11/28/2015,Adoption,Yes,0,1,1
A735515,5,Dog,No,No,Multi,9/24/2016,Saturday,September,Afternoon,Yes,Stray,Normal,Female,Intact,2,9/24/2014,Adoption,Yes,1,1,1
A746862,4,Dog,No,No,Multi,4/10/2017,Monday,April,Morning,Yes,Stray,Normal,Female,Intact,0.24,1/14/2017,Adoption,Yes,1,1,1
A683575,9,Dog,No,No,Multi,7/12/2014,Saturday,July,Morning,Yes,Stray,Normal,Female,Intact,8.01,7/12/2006,Adoption,Yes,1,1,1
A719167,5,Dog,No,No,Multi,1/14/2016,Thursday,January,Afternoon,Yes,Stray,Normal,Male,Intact,2,1/14/2014,Adoption,Yes,1,1,1
A689945,16,Dog,No,Yes,Multi,10/11/2014,Saturday,October,Afternoon,Yes,Stray,Normal,Female,Intact,2,10/11/2012,Transfer,No,0,1,1
A689986,5,Dog,No,Yes,Multi,10/12/2014,Sunday,October,Afternoon,Yes,Stray,Normal,Female,Intact,0.32,6/17/2014,Adoption,Yes,1,1,1
A758227,144,Dog,No,No,Multi,9/13/2017,Wednesday,September,Morning,No,Stray,Nursing,Male,Intact,0,9/12/2017,Adoption,Yes,0,0,0
A697843,12,Dog,No,No,White,3/2/2015,Monday,March,Morning,No,Stray,Normal,Male,Intact,2,3/2/2013,Adoption,Yes,1,1,1
A691049,23,Dog,No,Yes,Multi,10/29/2014,Wednesday,October,Afternoon,No,Stray,Sick,Male,Intact,3,10/29/2011,Euthanasia,No,0,1,1
A633994,3,Dog,No,No,Multi,10/18/2017,Wednesday,October,Morning,No,Owner Surrender,Normal,Female,Fixed,7.21,8/3/2010,Adoption,Yes,1,1,1
A710357,6,Dog,No,Yes,Multi,8/22/2015,Saturday,August,Morning,Yes,Owner Surrender,Normal,Male,Intact,2,8/22/2013,Euthanasia,No,1,1,1
A701958,12,Dog,No,No,Black,5/6/2015,Wednesday,May,Afternoon,Yes,Stray,Normal,Female,Intact,2,5/6/2013,Adoption,Yes,1,1,1
A665002,3,Dog,No,No,Multi,10/12/2013,Saturday,October,Morning,Yes,Stray,Normal,Female,Intact,0.02,10/5/2013,Transfer,No,1,1,1
A764423,5,Dog,No,No,Multi,12/29/2017,Friday,December,Afternoon,Yes,Stray,Normal,Female,Intact,0.83,3/1/2017,Adoption,Yes,1,1,1
A668526,59,Dog,No,No,Multi,12/4/2013,Wednesday,December,Afternoon,Yes,Public Assist,Normal,Male,Intact,0.05,11/16/2013,Adoption,Yes,0,0,1
A743316,5,Dog,No,No,Red,2/8/2017,Wednesday,February,Morning,No,Owner Surrender,Normal,Male,Intact,9.01,2/8/2008,Adoption,Yes,1,1,1
A688999,137,Dog,No,No,Multi,9/28/2014,Sunday,September,Morning,Yes,Owner Surrender,Normal,Male,Intact,0.84,11/27/2013,Transfer,No,0,0,0
A757845,4,Dog,No,Yes,Brown,9/7/2017,Thursday,September,Afternoon,Yes,Stray,Normal,Female,Intact,0.42,4/7/2017,Adoption,Yes,1,1,1
A671529,9,Dog,No,Yes,Multi,1/26/2014,Sunday,January,Afternoon,No,Stray,Normal,Male,Intact,0.38,9/11/2013,Transfer,No,1,1,1
A746608,5,Dog,No,No,Multi,4/5/2017,Wednesday,April,Afternoon,Yes,Stray,Normal,Female,Fixed,2,4/5/2015,Transfer,No,1,1,1
A669607,3,Dog,No,No,Multi,12/23/2013,Monday,December,Afternoon,Yes,Owner Surrender,Normal,Female,Intact,1,12/23/2012,Adoption,Yes,1,1,1
A721511,5,Dog,No,No,Multi,2/28/2016,Sunday,February,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,6,2/28/2010,Adoption,Yes,1,1,1
A713457,,Dog,No,No,Multi,10/25/2015,Sunday,October,Morning,No,Owner Surrender,Normal,Male,Fixed,1.05,10/7/2014,Adoption,Yes,1,1,1
A709968,10,Dog,No,No,Multi,8/15/2015,Saturday,August,Morning,No,Stray,Normal,Male,Intact,1,8/15/2014,Transfer,No,1,1,1
A679204,4,Dog,No,No,Beige,5/17/2014,Saturday,May,Afternoon,Yes,Owner Surrender,Nursing,Male,Intact,0.02,5/10/2014,Transfer,No,1,1,1
A667928,23,Dog,No,Yes,Beige,11/25/2013,Monday,November,Morning,No,Stray,Normal,Male,Intact,0.08,10/25/2013,Adoption,Yes,0,1,1
A703629,32,Dog,No,No,Multi,5/27/2015,Wednesday,May,Afternoon,Yes,Stray,Normal,Male,Intact,0.4,12/31/2014,Adoption,Yes,0,0,1
A687977,4,Dog,No,No,Multi,9/12/2014,Friday,September,Afternoon,Yes,Stray,Normal,Female,Intact,1.5,3/12/2013,Adoption,Yes,1,1,1
A750492,9,Dog,No,No,Multi,5/27/2017,Saturday,May,Afternoon,Yes,Stray,Normal,Male,Intact,1,5/27/2016,Transfer,No,1,1,1
A738027,0,Dog,No,No,Multi,11/8/2016,Tuesday,November,Afternoon,No,Owner Surrender,Normal,Male,Unknown,0.06,10/17/2016,Transfer,No,1,1,1
A695710,4,Dog,No,No,Multi,1/21/2015,Wednesday,January,Morning,Yes,Stray,Normal,Female,Intact,0.42,8/21/2014,Adoption,Yes,1,1,1
A671432,43,Dog,No,No,Multi,1/24/2014,Friday,January,Morning,Yes,Owner Surrender,Normal,Female,Intact,0.04,1/9/2014,Adoption,Yes,0,0,1
A733097,,Dog,No,Yes,Multi,4/5/2017,Wednesday,April,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,2.64,8/17/2014,Adoption,Yes,1,1,1
A674590,5,Dog,No,No,Multi,10/13/2014,Monday,October,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,2.58,3/15/2012,Adoption,Yes,1,1,1
A673201,45,Dog,No,Yes,Multi,2/20/2014,Thursday,February,Morning,Yes,Stray,Normal,Male,Intact,0.42,9/20/2013,Adoption,Yes,0,0,1
A715488,4,Dog,No,No,Brown,11/5/2015,Thursday,November,Morning,Yes,Stray,Normal,Male,Intact,1,11/5/2014,Transfer,No,1,1,1
A683050,4,Dog,No,No,Brown,7/6/2014,Sunday,July,Afternoon,Yes,Stray,Normal,Male,Fixed,8.01,7/6/2006,Transfer,No,1,1,1
A685973,6,Dog,No,No,Beige,8/15/2014,Friday,August,Morning,Yes,Owner Surrender,Normal,Female,Intact,0.33,4/15/2014,Transfer,No,1,1,1
A741420,18,Dog,Yes,No,Black,1/3/2017,Tuesday,January,Morning,Yes,Stray,Normal,Male,Intact,2.01,1/2/2015,Adoption,Yes,0,1,1
A690954,5,Dog,No,No,Multi,10/28/2014,Tuesday,October,Afternoon,Yes,Stray,Normal,Female,Intact,0.46,5/13/2014,Transfer,No,1,1,1
A680463,17,Dog,No,No,Multi,6/3/2014,Tuesday,June,Morning,Yes,Stray,Normal,Female,Intact,3,6/3/2011,Adoption,Yes,0,1,1
A706455,4,Dog,No,No,Yellow,6/29/2015,Monday,June,Morning,No,Stray,Normal,Female,Intact,12,7/3/2003,Euthanasia,No,1,1,1
A695820,167,Dog,No,No,White,1/23/2015,Friday,January,Afternoon,No,Stray,Normal,Female,Intact,2,1/23/2013,Adoption,Yes,0,0,0
A763920,32,Dog,No,Yes,Multi,12/18/2017,Monday,December,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,2,12/18/2015,Adoption,Yes,0,0,1
A732019,27,Dog,No,No,Multi,7/31/2016,Sunday,July,Morning,No,Stray,Nursing,Female,Intact,0.08,7/1/2016,Adoption,Yes,0,1,1
A758800,4,Dog,No,Yes,Multi,9/22/2017,Friday,September,Morning,Yes,Stray,Normal,Female,Intact,0.25,6/22/2017,Transfer,No,1,1,1
A759052,5,Dog,No,No,Multi,9/26/2017,Tuesday,September,Morning,Yes,Stray,Normal,Female,Intact,1,9/26/2016,Adoption,Yes,1,1,1
A685176,24,Dog,No,No,Multi,8/3/2014,Sunday,August,Afternoon,Yes,Stray,Normal,Male,Intact,0.21,5/19/2014,Euthanasia,No,0,1,1
A739166,4,Dog,No,No,Multi,11/28/2016,Monday,November,Afternoon,Yes,Stray,Normal,Male,Intact,1,11/28/2015,Adoption,Yes,1,1,1
A671351,74,Dog,No,No,Multi,1/22/2014,Wednesday,January,Afternoon,Yes,Public Assist,Normal,Male,Fixed,1,1/22/2013,Adoption,Yes,0,0,1
A665453,20,Dog,No,Yes,Multi,10/31/2013,Thursday,October,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,1.54,4/18/2012,Adoption,Yes,0,1,1
A697486,14,Dog,No,No,Multi,2/24/2015,Tuesday,February,Afternoon,Yes,Stray,Normal,Male,Intact,1.5,8/24/2013,Transfer,No,1,1,1
A703236,0,Dog,No,No,Multi,5/22/2015,Friday,May,Morning,Yes,Owner Surrender,Injured,Male,Unknown,9.01,5/22/2006,Euthanasia,No,1,1,1
A753655,30,Dog,No,Yes,Multi,8/13/2017,Sunday,August,Morning,Yes,Owner Surrender,Normal,Female,Fixed,0.93,9/9/2016,Transfer,No,0,1,1
A735883,10,Dog,No,No,Multi,9/30/2016,Friday,September,Afternoon,Yes,Stray,Normal,Female,Fixed,1.39,5/10/2015,Transfer,No,1,1,1
A669146,90,Dog,No,Yes,White,3/17/2014,Monday,March,Morning,Yes,Owner Surrender,Normal,Female,Fixed,1.25,12/15/2012,Adoption,Yes,0,0,1
A718058,7,Dog,No,Yes,Multi,12/20/2015,Sunday,December,Afternoon,Yes,Stray,Normal,Female,Intact,7,12/20/2008,Adoption,Yes,1,1,1
A751597,4,Dog,No,No,Multi,6/9/2017,Friday,June,Morning,No,Stray,Normal,Female,Intact,0.2,3/29/2017,Adoption,Yes,1,1,1
A672548,4,Dog,No,No,Red,2/12/2014,Wednesday,February,Afternoon,Yes,Stray,Normal,Female,Intact,0.16,12/15/2013,Adoption,Yes,1,1,1
